time,pid,x,y,z
1645222115720,MC4267,-0.34483722,0.5049685,-0.36166745
1645222115738,MC4267,-0.34849596,0.5677161,-0.3849005
1645222115759,MC4267,-0.3372758,0.755288,-0.41026786
1645222115779,MC4267,-0.3563013,0.93523747,-0.46642965
1645222115801,MC4267,-0.442038,1.0529273,-0.44691634
1645222115819,MC4267,-0.5118592,1.1250046,-0.42148802
1645222115838,MC4267,-0.4608196,1.176776,-0.32776305
1645222115859,MC4267,-0.19781643,1.2512316,-0.24592899
1645222115880,MC4267,0.030001752,1.3943497,-0.2561735
1645222115900,MC4267,0.19653587,1.4553899,-0.15092345
1645222115921,MC4267,0.21263437,1.3286141,-0.048844315
1645222115939,MC4267,0.25074634,1.1090891,-0.1015913
1645222115959,MC4267,0.20824388,0.93499357,-0.21958598
1645222115980,MC4267,0.09177365,0.8588307,-0.3533743
1645222116000,MC4267,-0.12848312,1.0013999,-0.39538896
1645222116021,MC4267,-0.31306708,1.1579335,-0.37361938
1645222116040,MC4267,-0.43789142,1.209217,-0.3931937
1645222116060,MC4267,-0.4608196,1.1406153,-0.3623992
1645222116080,MC4267,-0.35020337,0.9957899,-0.29282197
1645222116100,MC4267,-0.23495273,0.8280361,-0.25714916
1645222116120,MC4267,-0.09799353,0.70449233,-0.29087064
1645222116140,MC4267,0.005305188,0.6385739,-0.34556895
1645222116160,MC4267,-0.0012805626,0.6593068,-0.39880377
1645222116180,MC4267,-0.09726178,0.7225422,-0.41782928
1645222116200,MC4267,-0.1458012,0.78992414,-0.40587735
1645222116220,MC4267,-0.1507405,0.81364506,-0.40124294
1645222116240,MC4267,-0.15757017,0.77016693,-0.40124294
1645222116260,MC4267,-0.17440043,0.64808667,-0.43837926
1645222116280,MC4267,-0.20171909,0.53698254,-0.43124467
1645222116300,MC4267,-0.15342359,0.5311286,-0.39831594
1645222116320,MC4267,-0.11677511,0.6241218,-0.44398934
1645222116340,MC4267,-0.17171735,0.76772773,-0.38587618
1645222116361,MC4267,-0.23519666,0.9464577,-0.34337372
1645222116381,MC4267,-0.32947046,1.1264683,-0.41441447
1645222116401,MC4267,-0.35191077,1.3166622,-0.44374543
1645222116422,MC4267,-0.15976544,1.5630791,-0.46155134
1645222116441,MC4267,-0.06915038,1.7757745,-0.5528981
1645222116461,MC4267,-0.3785587,1.4646586,-0.33678794
1645222116480,MC4267,-0.36483836,1.0331701,-0.23348925
1645222116501,MC4267,-0.17513219,0.96651983,-0.3001395
1645222116521,MC4267,0.073723815,0.9772521,-0.3020908
1645222116542,MC4267,0.12329988,0.92157817,-0.17610785
1645222116560,MC4267,0.16061914,0.89736944,-0.14482553
1645222116580,MC4267,0.17671764,0.931091,-0.18586451
1645222116602,MC4267,0.12622687,1.0285357,-0.25422215
1645222116623,MC4267,0.065125756,1.0920149,-0.30745697
1645222116644,MC4267,-0.0020123126,1.0119493,-0.28062615
1645222116661,MC4267,-0.049393125,0.88980806,-0.21098793
1645222116681,MC4267,-0.09628611,0.7391895,-0.16019228
1645222116701,MC4267,-0.14872819,0.59948623,-0.20245084
1645222116723,MC4267,-0.20617059,0.5027733,-0.20245084
1645222116741,MC4267,-0.2625763,0.5489345,-0.18586451
1645222116762,MC4267,-0.24495333,0.6697952,-0.1826936
1645222116781,MC4267,-0.17781526,0.7755331,-0.18635234
1645222116801,MC4267,-0.13506886,0.8336462,-0.23105009
1645222116821,MC4267,-0.15537491,0.8534644,-0.29379764
1645222116846,MC4267,-0.23983108,0.82852393,-0.29965165
1645222116864,MC4267,-0.32629955,0.8116937,-0.2559296
1645222116881,MC4267,-0.35556954,0.8571232,-0.26641798
1645222116901,MC4267,-0.30062732,0.91401684,-0.31282315
1645222116922,MC4267,-0.22934265,0.94084764,-0.3284948
1645222116942,MC4267,-0.22373258,0.8573671,-0.32727522
1645222116962,MC4267,-0.28208965,1.0004243,-0.5943639
1645222116982,MC4267,-0.3563013,1.1789713,-0.3328853
1645222117001,MC4267,-0.31605503,1.2040946,-0.58192426
1645222117022,MC4267,-0.25129515,1.299832,-0.3680093
1645222117042,MC4267,-0.22202516,1.2624518,-0.12799528
1645222117062,MC4267,-0.13970327,1.4114239,0.0764069
1645222117082,MC4267,0.042441502,1.4392303,0.14061797
1645222117102,MC4267,0.18921837,1.3154427,0.24269709
1645222117123,MC4267,0.27269885,1.2197055,0.2514781
1645222117143,MC4267,0.23068419,1.1843374,0.09079798
1645222117162,MC4267,0.055613004,1.1816543,0.008537084
1645222117182,MC4267,-0.08354146,1.224096,-0.065491624
1645222117202,MC4267,-0.21861032,1.3059299,-0.14384986
1645222117222,MC4267,-0.29989555,1.2714767,-0.15580177
1645222117244,MC4267,-0.29501724,1.1171384,-0.10872586
1645222117264,MC4267,-0.26135674,0.87249,-0.05274698
1645222117282,MC4267,-0.13823979,0.6700391,-0.10525005
1645222117302,MC4267,-0.09726178,0.52015233,-0.14702079
1645222117323,MC4267,-0.10311578,0.41026786,-0.11604337
1645222117344,MC4267,-0.08427321,0.36825323,-0.13506886
1645222117363,MC4267,-0.08963938,0.46295387,-0.2075731
1645222117383,MC4267,-0.055247124,0.63320774,-0.3096522
1645222117404,MC4267,-0.03225798,0.75065356,-0.35605738
1645222117423,MC4267,-0.07988272,0.79705876,-0.35556954
1645222117443,MC4267,-0.16513158,0.7980344,-0.38733968
1645222117463,MC4267,-0.23373316,0.8034006,-0.43667182
1645222117483,MC4267,-0.24105066,0.86029416,-0.5345434
1645222117503,MC4267,-0.2330014,0.93914014,-0.5111274
1645222117523,MC4267,-0.26062497,1.0031073,-0.47082016
1645222117543,MC4267,-0.36288705,1.1325661,-0.48765042
1645222117563,MC4267,-0.39148626,1.2541586,-0.5785094
1645222117584,MC4267,-0.3138598,1.235133,-0.60735255
1645222117604,MC4267,-0.100432694,1.2807455,-0.5435683
